date,symbol,direction,entry_price,exit_price,exit_reason,quantity,gross_pnl,charges,net_pnl,or_high,or_low,or_size_pct,rvol,signal_strength,t1_hit,t2_hit,t3_hit
2026-04-27,HDFCLIFE,BUY,596.4,597.05,FORCE_EXIT,16,38.6,3.27,35.33,593.9500122070312,590.1500244140625,0.64,2.66,STRONG,True,False,False
2026-04-27,ADANIPORTS,BUY,1632.82,1629.28,FORCE_EXIT,1,-3.54,0.56,-4.1,1622.300048828125,1600.800048828125,1.34,1.56,MEDIUM,False,False,False
2026-04-27,HEROMOTOCO,BUY,5074.54,5046.98,FORCE_EXIT,1,-27.56,1.73,-29.29,5057.0,5011.0,0.92,1.68,MEDIUM,False,False,False
2026-04-27,AMBUJACEM,BUY,459.23,460.97,FORCE_EXIT,20,56.8,3.15,53.65,458.1000061035156,454.04998779296875,0.89,2.96,STRONG,True,False,False
2026-04-29,HAVELLS,BUY,1282.14,1268.37,SL_HIT,4,-55.08,1.73,-56.81,1275.199951171875,1269.0,0.49,1.62,MEDIUM,False,False,False
2026-04-29,CIPLA,BUY,1321.16,1317.14,FORCE_EXIT,3,-12.06,1.35,-13.41,1314.5999755859375,1307.9000244140625,0.51,1.51,MEDIUM,False,False,False
2026-04-29,EICHERMOT,BUY,7245.12,7171.41,FORCE_EXIT,1,-73.71,2.45,-76.16,7192.5,7106.0,1.22,1.51,MEDIUM,False,False,False
2026-04-29,TORNTPHARM,BUY,4261.03,4231.08,FORCE_EXIT,1,-29.95,1.45,-31.4,4220.2001953125,4200.0,0.48,1.89,MEDIUM,False,False,False
2026-05-04,BAJFINANCE,BUY,953.08,952.6,SL_HIT,10,30.68,3.26,27.42,951.3499755859375,943.25,0.86,2.0,STRONG,True,False,False
2026-05-04,GODREJCP,BUY,1090.54,1072.46,SL_HIT,5,-90.4,1.84,-92.24,1080.4000244140625,1073.0,0.69,2.16,STRONG,False,False,False
2026-05-04,CIPLA,BUY,1326.36,1325.7,SL_HIT,9,24.15,4.07,20.08,1323.0,1315.0,0.61,2.06,STRONG,True,False,False
2026-05-04,BANKBARODA,BUY,268.93,265.72,SL_HIT,33,-105.93,3.0,-108.93,268.29998779296875,265.8500061035156,0.92,2.21,STRONG,False,False,False
2026-05-06,LUPIN,BUY,2374.19,2450.87,T3_HIT,4,216.37,3.31,213.06,2362.800048828125,2350.39990234375,0.53,2.23,STRONG,True,True,True
2026-05-06,SBILIFE,BUY,1838.92,1856.97,FORCE_EXIT,9,142.08,5.69,136.39,1834.199951171875,1827.0,0.39,2.02,STRONG,True,True,False
2026-05-06,TRENT,BUY,2816.54,2861.83,FORCE_EXIT,1,45.29,0.97,44.32,2798.7333984375,2771.0,1.0,1.65,MEDIUM,True,False,False
2026-05-06,MOTHERSON,BUY,123.55,127.18,FORCE_EXIT,67,164.43,2.87,161.56,122.7699966430664,122.0,0.63,3.45,STRONG,True,True,False
2026-05-13,DIVISLAB,BUY,6759.88,6756.5,SL_HIT,1,-3.38,2.31,-5.69,6706.0,6655.5,0.76,1.74,MEDIUM,True,False,False
2026-05-13,BHARTIARTL,BUY,1780.89,1794.2,FORCE_EXIT,1,13.31,0.61,12.7,1763.5999755859375,1754.4000244140625,0.52,1.56,MEDIUM,False,False,False
2026-05-13,GRASIM,BUY,2934.67,2959.62,FORCE_EXIT,2,49.9,2.02,47.88,2931.60009765625,2912.0,0.67,1.79,MEDIUM,True,False,False
2026-05-13,VEDL,BUY,314.96,323.84,FORCE_EXIT,8,61.14,0.87,60.27,312.8999938964844,308.8999938964844,1.29,1.81,MEDIUM,True,False,False
2026-05-14,COLPAL,BUY,2161.58,2127.24,SL_HIT,1,-34.34,0.73,-35.07,2142.0,2128.300048828125,0.64,1.5,MEDIUM,False,False,False
2026-05-14,HINDALCO,BUY,1096.55,1100.75,FORCE_EXIT,3,12.6,1.13,11.47,1089.5,1082.699951171875,0.63,1.88,MEDIUM,False,False,False
2026-05-20,GRASIM,BUY,2909.45,2886.86,SL_HIT,5,-112.95,4.93,-117.88,2900.0,2888.300048828125,0.41,2.24,STRONG,False,False,False
2026-05-20,LT,BUY,3923.36,3913.54,FORCE_EXIT,1,-9.82,1.34,-11.16,3904.699951171875,3883.10009765625,0.56,1.64,MEDIUM,False,False,False
2026-05-20,ADANIPORTS,BUY,1769.58,1772.91,FORCE_EXIT,4,13.32,2.42,10.9,1760.0,1746.0999755859375,0.8,2.77,STRONG,False,False,False
2026-05-20,EICHERMOT,BUY,6829.41,6863.57,FORCE_EXIT,1,34.16,2.34,31.82,6814.5,6755.0,0.88,1.56,MEDIUM,True,False,False
2026-05-22,HDFCBANK,BUY,773.64,765.82,FORCE_EXIT,7,-54.74,1.83,-56.57,764.25,760.4500122070312,0.5,2.05,STRONG,False,False,False
2026-05-22,KOTAKBANK,BUY,385.49,383.01,FORCE_EXIT,28,-69.44,3.67,-73.11,384.20001220703125,381.75,0.64,2.23,STRONG,False,False,False
2026-05-22,SIEMENS,BUY,3770.28,3807.5,FORCE_EXIT,1,37.22,1.3,35.92,3744.39990234375,3714.800048828125,0.8,2.69,STRONG,True,False,False
2026-05-22,MFSL,BUY,1651.83,1679.16,FORCE_EXIT,3,80.69,1.71,78.98,1635.9000244140625,1623.300048828125,0.78,2.72,STRONG,True,False,False
2026-05-25,LT,BUY,4023.01,4031.48,FORCE_EXIT,2,16.94,2.75,14.19,4005.89990234375,3976.60009765625,0.74,2.07,STRONG,False,False,False
2026-05-25,BPCL,BUY,307.9,308.05,FORCE_EXIT,14,2.1,1.47,0.63,307.5,304.20001220703125,1.08,1.56,MEDIUM,False,False,False
2026-05-25,CHOLAFIN,BUY,1576.79,1585.11,FORCE_EXIT,6,63.3,3.24,60.06,1574.4000244140625,1559.4000244140625,0.96,2.93,STRONG,True,False,False
2026-05-25,MUTHOOTFIN,BUY,3364.18,3352.12,FORCE_EXIT,3,-36.18,3.43,-39.61,3348.699951171875,3331.5,0.52,2.34,STRONG,False,False,False
2026-05-27,TRENT,BUY,2853.43,2821.92,SL_HIT,1,-31.51,0.96,-32.47,2845.533203125,2823.333251953125,0.79,1.64,MEDIUM,False,False,False
2026-05-27,MUTHOOTFIN,BUY,3351.57,3324.24,SL_HIT,4,-109.32,4.54,-113.86,3343.0,3325.89990234375,0.51,2.25,STRONG,False,False,False
2026-05-27,ABB,BUY,6936.47,7209.39,FORCE_EXIT,1,272.92,2.44,270.48,6895.0,6822.5,1.06,1.83,MEDIUM,True,True,False
2026-05-27,LODHA,BUY,922.46,924.64,FORCE_EXIT,2,4.36,0.63,3.73,915.4000244140625,903.7999877929688,1.28,1.78,MEDIUM,False,False,False
